Código Departamento,Código Entidad,prov
70,70221,31351.319999999996
70,70230,8370.15
70,70233,8450.78
70,70235,39471.79
70,70265,19283.43
70,70400,24829.21
70,70418,26695.63
70,70429,44711.6
70,70473,17114.760000000002
70,70508,35423.21
70,70523,20192.61
70,70670,56848.18
70,70678,25431.68
70,70702,16177.839999999998
70,70708,85386.47999999998
70,70713,67365.47
70,70717,29976.579999999998
70,70742,49776.49
70,70771,32213.670000000002
70,70820,30525.37
70,70823,23373.86
73,73000,0.0
73,73001,598203.5599999999
73,73024,7369.339999999999
73,73026,16144.470000000001
73,73030,7453.01
73,73043,13823.43
73,73055,16899.84
73,73067,21444.370000000003
73,73124,20197.36
73,73148,12197.59
73,73152,8333.019999999999
73,73168,47597.560000000005
73,73200,14546.65
73,73217,29990.68
73,73226,10546.41
73,73236,11908.079999999998
73,73268,71119.40999999999
73,73270,11265.37
73,73275,24003.27
73,73283,23830.28
73,73319,31166.450000000004
73,73347,6383.0199999999995
73,73349,24653.86
73,73352,14743.76
73,73408,17674.53
73,73411,33761.3
73,73443,29128.15
73,73449,36347.77
73,73461,5875.24
73,73483,12973.57
73,73504,39071.36
73,73520,11887.01
73,73547,11424.920000000002
73,73555,29632.29
73,73563,9796.93
73,73585,27381.91
73,73616,21579.15
73,73622,7912.36
73,73624,24563.960000000003
73,73671,15852.35
73,73675,18754.42
73,73678,11593.380000000001
73,73686,8580.28
73,73770,8162.080000000001
73,73854,9700.689999999999
73,73861,14700.56
73,73870,8750.53
73,73873,6149.2699999999995
76,76000,0.0
76,76001,2715637.1
76,76020,19071.579999999998
76,76036,16461.48
76,76041,16071.52
76,76054,6133.41
76,76100,14513.720000000001
76,76109,453164.81
76,76111,133648.99
76,76113,23787.99
76,76122,26313.179999999997
76,76126,14508.0
76,76130,75908.61
76,76147,149799.87000000002
76,76233,36377.270000000004
76,76243,12707.990000000002
76,76246,7724.29
76,76248,49160.009999999995
76,76250,15224.59
76,76275,39164.3
76,76306,15845.960000000003
76,76318,24195.559999999998
76,76364,118633.67
76,76377,10614.06
76,76400,29456.979999999996
76,76403,11694.16
76,76497,12600.28
76,76520,370713.51
76,76563,42625.29
76,76606,14044.490000000002
76,76616,15372.74
76,76622,28163.88
76,76670,13618.810000000001
76,76736,42654.95
76,76823,14527.23
76,76828,18332.12
76,76834,250537.13999999998
76,76845,5731.37
76,76863,9879.93
76,76869,9916.73
76,76890,12791.090000000002
76,76892,209894.02
76,76895,25096.78
81,81000,0.0
81,81001,180937.76
81,81065,67237.73000000001
81,81220,9723.28
81,81300,23751.73
81,81591,10092.789999999999
81,81736,67121.79000000001
81,81794,58815.13
85,85000,0.0
85,85001,175580.91
85,85010,96512.45
85,85015,7370.9400000000005
85,85125,17181.079999999998
85,85136,7475.290000000001
85,85139,21442.010000000002
85,85162,51932.76
85,85225,17058.84
85,85230,53898.17
85,85250,47477.0
85,85263,16716.37
85,85279,5779.73
85,85300,15334.699999999999
85,85315,5511.53
85,85325,23546.39
85,85400,9913.140000000001
85,85410,54754.47
85,85430,17806.53
85,85440,27293.68
86,86000,0.0
86,86001,45585.409999999996
86,86219,7743.44
86,86320,42228.229999999996
86,86568,75250.81
86,86569,16738.98
86,86571,19560.21
86,86573,18363.34
86,86749,16836.29
86,86755,9898.76
86,86757,25256.73
86,86760,15316.490000000002
86,86865,37579.54
86,86885,36491.68
88,88000,56360.36
88,88564,42337.9
91,91000,4946.92
91,91001,35282.83
91,91540,9723.5
94,94000,10255.34
94,94001,39170.52
94,94343,0.0
95,95000,8716.53
95,95001,48697.89000000001
95,95015,9571.16
95,95025,20638.64
95,95200,11176.16
97,97000,16976.68
97,97001,39264.48
97,97161,11776.179999999998
97,97666,9329.27
99,99000,18539.54
99,99001,23493.139999999996
99,99524,19897.28
99,99624,7848.17
99,99773,50263.899999999994
